model_id,epoch,train_loss,val_loss,val_roc_auc,val_average_precision,val_accuracy,val_balanced_accuracy,val_precision,val_sensitivity,val_specificity,val_f1,learning_rate,seconds,is_best_roc_auc_epoch
B0,1,1.0615246522525126,0.94329155908013,0.8382941431328528,0.0966349452572077,0.755092802172929,0.7452479420221356,0.0512514898688915,0.7350427350427351,0.7554531490015362,0.0958217270194986,0.0001,174.64488809998147,False
B0,2,0.9167299136930496,1.1097368359367863,0.8284283219767091,0.0896025175328706,0.7964388109250038,0.7578990901571547,0.06,0.717948717948718,0.7978494623655914,0.1107448912326961,0.0001,69.03637380001601,False
B0,3,0.8885729405478606,1.0391235576777575,0.8422111938240969,0.0884804457639819,0.8017202354006338,0.7731773602741345,0.0634573304157549,0.7435897435897436,0.8027649769585253,0.1169354838709677,0.0001,69.94285439999658,False
B0,4,0.8659845466834023,1.0283467555740435,0.864275867501674,0.1192731306546829,0.7680700165987626,0.7812300602623183,0.0579078455790784,0.7948717948717948,0.7675883256528417,0.1079512478235635,0.0001,68.53440599999158,True
B0,5,0.8375183128177852,1.1875714443559937,0.8464059238252786,0.093025551495008,0.8812433982194054,0.7255228642325416,0.0822942643391521,0.5641025641025641,0.8869431643625192,0.1436343852013057,0.0001,68.2089241000067,False
B0,6,0.8431621745710683,1.1686166428289244,0.839249281184765,0.1329208291994663,0.7650520597555455,0.7671038638780574,0.0555555555555555,0.7692307692307693,0.7649769585253456,0.1036269430051813,0.0001,66.96351450000657,False
B0,7,0.811974665881004,1.2572700848078608,0.8223574513897094,0.0809089589847348,0.853176399577486,0.7196305486628067,0.0685483870967741,0.5811965811965812,0.8580645161290322,0.1226330027051397,0.0001,65.52121929998975,False
M1,1,1.1163144048045115,0.9442939643624576,0.855814854201951,0.0976763886353326,0.5510789195714502,0.758915278270117,0.0369410239792611,0.9743589743589745,0.5434715821812596,0.0711832656884171,0.0001,158.0572364999971,False
M1,2,0.984893256375023,0.9883465583784576,0.8575984350177899,0.0894588340127226,0.7866304511845481,0.7864803655126236,0.0621201890614449,0.7863247863247863,0.7866359447004608,0.1151439299123904,0.0001,98.71492790000048,False
M1,3,0.906532656652054,0.8435359823770323,0.8773944096524742,0.1227037989330635,0.6485589256073638,0.7917444562605853,0.0452302631578947,0.9401709401709402,0.6433179723502304,0.0863083562181247,0.0001,98.83832249999978,False
M1,4,0.855314180105919,0.8009849782621086,0.9008481363320072,0.1694056106866171,0.6337709370755998,0.8010043719721138,0.0449172576832151,0.9743589743589745,0.6276497695852534,0.0858757062146892,0.0001,98.94740630002345,True
M1,5,0.8459834624310296,0.9804658655291394,0.8924048472435568,0.1356641254741948,0.5728082088426135,0.7699751861042183,0.0387491502379333,0.9743589743589745,0.5655913978494623,0.0745341614906832,0.0001,98.86956800002372,False
M1,6,0.7766204857053368,0.8564077320547868,0.8912337363950268,0.1524447695795126,0.7431718726422212,0.7937374453503485,0.055524397083567,0.8461538461538461,0.741321044546851,0.1042105263157894,0.0001,98.99545230000513,False
M1,7,0.884389726507146,0.806626974250174,0.8921291372904276,0.1598270277009818,0.6954881545193904,0.8114340856276341,0.0514393581878244,0.9316239316239316,0.6912442396313364,0.0974955277280858,0.0001,99.28224669999328,False
M2,1,1.168802862329489,1.0390995071271398,0.8319442803313771,0.0722414974668442,0.4786479553342387,0.7136555201071331,0.0314430095451993,0.9572649572649572,0.4700460829493088,0.060886110356075,0.0001,160.58679529998335,False
M2,2,1.0012821369141631,0.9688299478710336,0.8520251552509617,0.0910508434102867,0.7778783763392183,0.7820256804127772,0.0597790773229369,0.7863247863247863,0.7777265745007681,0.1111111111111111,0.0001,99.98676679999336,False
M2,3,0.932367076423556,0.9354394905902114,0.847739834836609,0.0950864308637608,0.6613852421910367,0.7898794753633464,0.0460947503201024,0.9230769230769232,0.6566820276497696,0.0878048780487804,0.0001,99.9994545999798,False
M2,4,0.8934597998476239,0.920253230037059,0.8789909015715467,0.1572295567624114,0.5894069714803079,0.7742270274528339,0.0399293286219081,0.9658119658119658,0.582642089093702,0.0766881574482524,0.0001,100.56019950000336,False
M2,5,0.8496553368728392,1.1684474477189437,0.8523658539787571,0.1154901055626243,0.4222121623660781,0.6975205797786442,0.0291730086250634,0.9829059829059827,0.4121351766513056,0.0566642030056664,0.0001,100.47108879999725,False
M2,6,0.8478606849028221,1.1230675834992074,0.8381228090905509,0.0976269704727901,0.7288365776369398,0.7570640828705344,0.0493562231759656,0.7863247863247863,0.7278033794162826,0.0928823826350328,0.0001,100.52931880002144,False
M2,7,0.907140354934002,0.8736602792341245,0.8864061864061864,0.1415902109499801,0.7360796740606609,0.8195045098270906,0.0574837310195227,0.905982905982906,0.733026113671275,0.1081081081081081,0.0001,100.43419570001424,False
M2,8,0.7937121149404862,0.8301120169727227,0.8974457442199376,0.1652915978340352,0.7387958352195564,0.8166902989483635,0.0575657894736842,0.8974358974358975,0.7359447004608295,0.1081916537867078,0.0001,100.56811490000108,True
M2,9,0.7739346013799641,0.8162102819442462,0.8930691769401448,0.1891625102999916,0.7581107590161461,0.818127929418252,0.0608747044917257,0.8803418803418803,0.7559139784946236,0.1138750690989496,0.0001,100.44685609999578,False
M2,10,0.7595992227516839,0.8839321031781978,0.879959168668846,0.1710763080805471,0.6902067300437603,0.8003525148686439,0.0497674418604651,0.9145299145299144,0.6861751152073733,0.094397882664314,0.0001,100.73874329999671,False
