model,group_variable,group_value,N,negative_count,positive_count,prevalence,roc_auc,average_precision,metric_defined,accuracy,balanced_accuracy,precision,sensitivity,specificity,f1,tn,fp,fn,tp,small_positive_count
M2,sex,female,3332,3286,46,0.013805522208883553,0.8659927492127338,0.12520783855082362,True,0.7394957983193278,0.7821852920161951,0.042316258351893093,0.8260869565217391,0.7382836275106512,0.08050847457627118,2426,860,8,38,False
M2,sex,male,3295,3224,71,0.021547799696509863,0.9162749449550903,0.19823754592658105,True,0.7380880121396055,0.8386113829378254,0.07235421166306695,0.9436619718309859,0.733560794044665,0.13440320962888666,2365,859,4,67,False
M2,age,<40,1432,1415,17,0.011871508379888268,0.8766992309291208,0.06602242788481755,True,0.7793296089385475,0.7721055913531489,0.04,0.7647058823529411,0.7795053003533569,0.07602339181286549,1103,312,4,13,False
M2,age,40-59,2964,2923,41,0.013832658569500675,0.870551471508557,0.122075639039014,True,0.7722672064777328,0.8003679814423871,0.04843304843304843,0.8292682926829268,0.7714676702018474,0.09152086137281291,2255,668,7,34,False
M2,age,60+,2231,2172,59,0.026445540116539667,0.91433342697506,0.23417755927255807,True,0.6683101748095025,0.8214057183881138,0.07277289836888332,0.9830508474576272,0.6597605893186004,0.13551401869158877,1433,739,1,58,False
M2,site,head/neck,436,420,16,0.03669724770642202,0.865625,0.20169924774037068,True,0.5091743119266054,0.7151785714285714,0.06578947368421052,0.9375,0.4928571428571429,0.12295081967213115,207,213,1,15,False
M2,site,lower extremity,1745,1726,19,0.010888252148997135,0.8930901994267244,0.16923148160254264,True,0.7472779369627507,0.8462218698542416,0.039301310043668124,0.9473684210526315,0.7450753186558516,0.07547169811320754,1286,440,1,18,False
M2,site,oral/genital,24,21,3,0.125,0.9523809523809524,0.8333333333333333,True,0.7083333333333334,0.8333333333333333,0.3,1.0,0.6666666666666666,0.46153846153846156,14,7,0,3,True
M2,site,palms/soles,72,71,1,0.013888888888888888,0.6619718309859155,0.04,True,0.6111111111111112,0.8028169014084507,0.034482758620689655,1.0,0.6056338028169014,0.06666666666666667,43,28,0,1,True
M2,site,torso,3301,3247,54,0.016358679188124812,0.9041394335511982,0.1728371056620698,True,0.7652226598000605,0.8260274441364679,0.0587515299877601,0.8888888888888888,0.7631659993840468,0.11021814006888633,2478,769,6,48,False
M2,site,unknown,102,101,1,0.00980392156862745,0.9603960396039604,0.2,True,0.6862745098039216,0.8415841584158417,0.030303030303030304,1.0,0.6831683168316832,0.058823529411764705,69,32,0,1,True
M2,site,upper extremity,947,924,23,0.024287222808870117,0.8921513269339356,0.1875119094674644,True,0.7529039070749736,0.7885846038019951,0.07630522088353414,0.8260869565217391,0.7510822510822511,0.13970588235294118,694,230,4,19,False
