epoch,train_loss,val_loss,val_roc_auc,val_pr_auc,val_accuracy,val_balanced_accuracy,val_precision,val_sensitivity,val_specificity,val_f1,learning_rate,seconds
1,1.168802862329489,1.0390995071271398,0.8319442803313771,0.07224149746684425,0.4786479553342387,0.7136555201071331,0.031443009545199324,0.9572649572649573,0.4700460829493088,0.06088611035607502,0.0001,160.58679529998335
2,1.0012821369141631,0.9688299478710336,0.8520251552509617,0.09105084341028676,0.7778783763392183,0.7820256804127772,0.05977907732293697,0.7863247863247863,0.7777265745007681,0.1111111111111111,0.0001,99.98676679999335
3,0.9323670764235561,0.9354394905902114,0.847739834836609,0.0950864308637608,0.6613852421910367,0.7898794753633464,0.046094750320102434,0.9230769230769231,0.6566820276497696,0.08780487804878048,0.0001,99.9994545999798
4,0.8934597998476239,0.920253230037059,0.8789909015715467,0.15722955676241146,0.5894069714803079,0.7742270274528339,0.03992932862190813,0.9658119658119658,0.582642089093702,0.07668815744825246,0.0001,100.56019950000336
5,0.8496553368728392,1.1684474477189437,0.8523658539787571,0.1154901055626243,0.42221216236607817,0.6975205797786442,0.029173008625063418,0.9829059829059829,0.41213517665130567,0.05666420300566642,0.0001,100.47108879999723
6,0.8478606849028221,1.1230675834992074,0.8381228090905509,0.09762697047279016,0.7288365776369398,0.7570640828705344,0.04935622317596566,0.7863247863247863,0.7278033794162826,0.09288238263503282,0.0001,100.52931880002143
7,0.9071403549340019,0.8736602792341245,0.8864061864061864,0.14159021094998014,0.7360796740606609,0.8195045098270906,0.057483731019522775,0.905982905982906,0.733026113671275,0.10810810810810811,0.0001,100.43419570001424
8,0.7937121149404862,0.8301120169727227,0.8974457442199376,0.16529159783403521,0.7387958352195564,0.8166902989483635,0.05756578947368421,0.8974358974358975,0.7359447004608295,0.10819165378670788,0.0001,100.56811490000109
9,0.7739346013799641,0.8162102819442462,0.8930691769401448,0.18916251029999162,0.7581107590161461,0.818127929418252,0.060874704491725766,0.8803418803418803,0.7559139784946236,0.11387506909894969,0.0001,100.44685609999578
10,0.7595992227516839,0.8839321031781978,0.879959168668846,0.17107630808054716,0.6902067300437603,0.8003525148686439,0.04976744186046512,0.9145299145299145,0.6861751152073733,0.09439788266431408,0.0001,100.73874329999671
